product_handle,product_title,description,category,fabric,pack_size,moq,stock_status,video_url,product_test_marker,color,size,sku,inventory_quantity,image_urls
fs-sh-001,Black Men's Shorts,Black men's shorts available in sizes M-3XL.,casual-pants,Cotton blend,5,5,in_stock,,,Black,M,FS-SH-001-BLACK-M,29,/images/wholesale/real-products/fs-sh-001-01.png|/images/wholesale/real-products/fs-sh-001-02.png|/images/wholesale/real-products/fs-sh-001-03.png|/images/wholesale/real-products/fs-sh-001-04.png|/images/wholesale/real-products/fs-sh-001-05.png
fs-sh-001,Black Men's Shorts,Black men's shorts available in sizes M-3XL.,casual-pants,Cotton blend,5,5,in_stock,,,Black,L,FS-SH-001-BLACK-L,28,/images/wholesale/real-products/fs-sh-001-01.png|/images/wholesale/real-products/fs-sh-001-02.png|/images/wholesale/real-products/fs-sh-001-03.png|/images/wholesale/real-products/fs-sh-001-04.png|/images/wholesale/real-products/fs-sh-001-05.png
fs-sh-001,Black Men's Shorts,Black men's shorts available in sizes M-3XL.,casual-pants,Cotton blend,5,5,in_stock,,,Black,XL,FS-SH-001-BLACK-XL,28,/images/wholesale/real-products/fs-sh-001-01.png|/images/wholesale/real-products/fs-sh-001-02.png|/images/wholesale/real-products/fs-sh-001-03.png|/images/wholesale/real-products/fs-sh-001-04.png|/images/wholesale/real-products/fs-sh-001-05.png
fs-sh-001,Black Men's Shorts,Black men's shorts available in sizes M-3XL.,casual-pants,Cotton blend,5,5,in_stock,,,Black,2XL,FS-SH-001-BLACK-2XL,28,/images/wholesale/real-products/fs-sh-001-01.png|/images/wholesale/real-products/fs-sh-001-02.png|/images/wholesale/real-products/fs-sh-001-03.png|/images/wholesale/real-products/fs-sh-001-04.png|/images/wholesale/real-products/fs-sh-001-05.png
fs-sh-001,Black Men's Shorts,Black men's shorts available in sizes M-3XL.,casual-pants,Cotton blend,5,5,in_stock,,,Black,3XL,FS-SH-001-BLACK-3XL,28,/images/wholesale/real-products/fs-sh-001-01.png|/images/wholesale/real-products/fs-sh-001-02.png|/images/wholesale/real-products/fs-sh-001-03.png|/images/wholesale/real-products/fs-sh-001-04.png|/images/wholesale/real-products/fs-sh-001-05.png
fs-jn-001-black,Men's Straight-Leg Jeans - Black,Black straight-leg jeans available in sizes M-2XL.,jeans,Denim,5,5,in_stock,,,Black,M,FS-JN-001-BLACK-M,75,/images/wholesale/real-products/fs-jn-001-black-01.png|/images/wholesale/real-products/fs-jn-001-black-02.png|/images/wholesale/real-products/fs-jn-001-black-03.png
fs-jn-001-black,Men's Straight-Leg Jeans - Black,Black straight-leg jeans available in sizes M-2XL.,jeans,Denim,5,5,in_stock,,,Black,L,FS-JN-001-BLACK-L,75,/images/wholesale/real-products/fs-jn-001-black-01.png|/images/wholesale/real-products/fs-jn-001-black-02.png|/images/wholesale/real-products/fs-jn-001-black-03.png
fs-jn-001-black,Men's Straight-Leg Jeans - Black,Black straight-leg jeans available in sizes M-2XL.,jeans,Denim,5,5,in_stock,,,Black,XL,FS-JN-001-BLACK-XL,75,/images/wholesale/real-products/fs-jn-001-black-01.png|/images/wholesale/real-products/fs-jn-001-black-02.png|/images/wholesale/real-products/fs-jn-001-black-03.png
fs-jn-001-black,Men's Straight-Leg Jeans - Black,Black straight-leg jeans available in sizes M-2XL.,jeans,Denim,5,5,in_stock,,,Black,2XL,FS-JN-001-BLACK-2XL,75,/images/wholesale/real-products/fs-jn-001-black-01.png|/images/wholesale/real-products/fs-jn-001-black-02.png|/images/wholesale/real-products/fs-jn-001-black-03.png
fs-jn-002-blue,Men's Straight-Leg Jeans - Blue,Blue straight-leg jeans available in sizes M-3XL.,jeans,Denim,5,5,in_stock,,,Blue,M,FS-JN-002-BLUE-M,100,/images/wholesale/real-products/fs-jn-002-blue-01.png|/images/wholesale/real-products/fs-jn-002-blue-02.png|/images/wholesale/real-products/fs-jn-002-blue-03.png
fs-jn-002-blue,Men's Straight-Leg Jeans - Blue,Blue straight-leg jeans available in sizes M-3XL.,jeans,Denim,5,5,in_stock,,,Blue,L,FS-JN-002-BLUE-L,100,/images/wholesale/real-products/fs-jn-002-blue-01.png|/images/wholesale/real-products/fs-jn-002-blue-02.png|/images/wholesale/real-products/fs-jn-002-blue-03.png
fs-jn-002-blue,Men's Straight-Leg Jeans - Blue,Blue straight-leg jeans available in sizes M-3XL.,jeans,Denim,5,5,in_stock,,,Blue,XL,FS-JN-002-BLUE-XL,100,/images/wholesale/real-products/fs-jn-002-blue-01.png|/images/wholesale/real-products/fs-jn-002-blue-02.png|/images/wholesale/real-products/fs-jn-002-blue-03.png
fs-jn-002-blue,Men's Straight-Leg Jeans - Blue,Blue straight-leg jeans available in sizes M-3XL.,jeans,Denim,5,5,in_stock,,,Blue,2XL,FS-JN-002-BLUE-2XL,100,/images/wholesale/real-products/fs-jn-002-blue-01.png|/images/wholesale/real-products/fs-jn-002-blue-02.png|/images/wholesale/real-products/fs-jn-002-blue-03.png
fs-jn-002-blue,Men's Straight-Leg Jeans - Blue,Blue straight-leg jeans available in sizes M-3XL.,jeans,Denim,5,5,in_stock,,,Blue,3XL,FS-JN-002-BLUE-3XL,100,/images/wholesale/real-products/fs-jn-002-blue-01.png|/images/wholesale/real-products/fs-jn-002-blue-02.png|/images/wholesale/real-products/fs-jn-002-blue-03.png
